AC,AG,AT,CG,CT,GT,piA1,piC1,piG1,piT1,piA2,piC2,piG2,piT2,piA3,piC3,piG3,piT3,omega,epsilon,number_of_sequences,number_of_sites,epistatic_sites,seed,mean_bl,stddev_bl
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,27,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,28,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,29,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,30,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,31,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,32,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,33,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,34,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,35,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,36,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,37,0.007152316725,0.005652364254
0.1762824741,1,0.1279118545,0.04675041524,0.2803392525,0.1443056515,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.1,0.2,0.3,0.4,0.8,2,50,501,20,38,0.007152316725,0.005652364254
